2018-01-02 13:52:40.2356 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:40.3767 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:40.5093 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:40.6445 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:40.7917 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:40.9409 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:41.0850 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:41.2466 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:41.3862 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:41.5153 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:41.6359 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:41.7720 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:41.8958 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:42.0335 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:42.1662 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:42.3070 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:42.4591 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:42.6062 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:42.7338 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
2018-01-02 13:52:42.8820 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:已有打开的与此 Command 相关联的 DataReader，必须首先将它关闭。 
