2018-01-06 13:14:09.3284 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:09.4584 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:09.6084 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:09.7784 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:10.0184 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:10.1584 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:10.3084 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:10.4384 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:10.5885 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:10.7329 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:10.8629 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:11.0029 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:11.2329 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:11.3630 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:11.4730 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
2018-01-06 13:14:11.6230 ERROR  SqlHelper.ExecNonQuery SQL:SqlHelper.ExecNonQuery方法捕获异常:列名 'InitNoBag' 无效。 
